5, 25, 8.33333333333 
4, 16, 5.33333333333 
6, 36, 12.0 
1, 1, 0.333333333333 
9, 81, 27.0 
0, 0, 0.0 
3, 9, 3.0 
9, 81, 27.0 
2, 4, 1.33333333333 
7, 49, 16.3333333333 
10, 100, 33.3333333333 
8, 64, 21.3333333333 
4, 16, 5.33333333333 
7, 49, 16.3333333333 
1, 1, 0.333333333333 
2, 4, 1.33333333333 
7, 49, 16.3333333333 
6, 36, 12.0 
5, 25, 8.33333333333 
2, 4, 1.33333333333 
8, 64, 21.3333333333 
2, 4, 1.33333333333 
0, 0, 0.0 
1, 1, 0.333333333333 
1, 1, 0.333333333333 
1, 1, 0.333333333333 
2, 4, 1.33333333333 
10, 100, 33.3333333333 
6, 36, 12.0 
2, 4, 1.33333333333 
